date,notes,online,congregation,children,attendance
1/6/2019,,,,,259
1/13/2019,,,,,154
1/20/2019,,,,,206
1/27/2019,,,,,201
2/3/2019,,,,,203
2/10/2019,,,,,211
2/17/2019,,,,,175
2/24/2019,,,,,214
3/3/2019,,,,,211
3/10/2019,,,,,209
3/17/2019,,,,,225
3/24/2019,,,,,192
4/7/2019,,,,,224
4/14/2019,,,,,238
4/14/2019,Palm Sunday,,,,213
4/21/2019,Easter,,,,304
4/28/2019,,,,,150
5/5/2019,,,,,223
5/12/2019,,,,,242
5/19/2019,,,,,242
5/26/2019,,,,,200
6/2/2019,,,,,222
6/9/2019,,,,,234
6/16/2019,,,,,203
6/23/2019,,,,,202
6/30/2019,,,,,217
7/7/2019,,,,,221
7/14/2019,,,,,190
7/21/2019,,,,,192
7/28/2019,,,,,185
8/4/2019,,,,,203
8/11/2019,,,,,224
8/18/2019,,,,,221
8/25/2019,,,,,227
9/1/2019,,,,,180
9/8/2019,,,,,216
9/15/2019,,,,,222
9/22/2019,,,,,203
9/29/2019,,,,,224
10/6/2019,,,,,210
10/13/2019,,,,,194
10/20/2019,,,,,215
10/27/2019,,,,,210
11/5/2019,,,,,209
11/12/2019,,,,,220
11/19/2019,,,,,213
11/26/2019,,,,,212
12/1/2019,,,,,216
12/8/2019,,,,,245
12/15/2019,,,,,211
12/22/2019,,,,,200
12/24/2019,Christmas Eve,,,,238
12/29/2019,,,,,174
1/5/2020,,,,,227
1/12/2020,Family Farewell,,,,236
1/19/2020,,,,,190
1/26/2020,,,,,245
2/2/2020,,,,,217
2/9/2020,Installation,,,,194
2/16/2020,,,,,204
2/23/2020,,,,,233
3/1/2020,,,,,201
3/8/2020,,,,,204
3/15/2020,,,,,168
3/22/2020,COVID,,,,0
3/29/2020,COVID,,,,0
4/5/2020,Palm Sunday COVID,,,,0
4/12/2020,Easter COVID,,,,0
4/19/2020,COVID,,,,0
4/26/2020,COVID,,,,0
5/3/2020,COVID,,,,0
5/10/2020,COVID,,,,0
5/17/2020,COVID,,,,0
5/24/2020,COVID,,,,0
5/31/2020,COVID,,,,0
6/6/2020,,,,,50
6/13/2020,,,,,60
6/20/2020,,,,,54
6/27/2020,,,,,83
7/5/2020,,,,,77
7/12/2020,,,,,81
7/19/2020,,,,,73
7/26/2020,,,,,82
8/2/2020,COVID,,,,0
8/9/2020,COVID,,,,0
8/16/2020,,,,,100
8/23/2020,,,,,76
8/30/2020,,,,,60
9/6/2020,,,,,78
9/13/2020,,,,,94
9/20/2020,,,,,75
9/27/2020,,,,,81
10/4/2020,,,,,106
10/11/2020,,,,,93
10/18/2020,,,,,80
10/25/2020,,,,,93
11/1/2020,,,,,91
11/8/2020,,22,103,,125
11/15/2020,,30,70,,100
11/22/2020,,50,63,,113
11/29/2020,,19,83,,102
12/6/2020,,58,100,,158
12/13/2020,,36,116,,152
12/20/2020,,25,110,,135
12/24/2020,,0,0,,0
12/27/2020,,30,90,,120
1/3/2021,,40,110,,150
1/10/2021,,30,130,,160
1/17/2021,,45,123,,168
1/24/2021,,40,122,,162
1/31/2021,,50,90,,140
2/7/2021,,50,80,,130
2/14/2021,,100,60,,160
2/21/2021,,65,105,,170
2/28/2021,,50,110,,160
3/7/2021,,60,100,,160
3/14/2021,,50,110,,160
3/21/2021,,60,124,,184
3/28/2021,,50,102,,152
4/2/2021,,20,75,,95
4/4/2021,Palm Sunday,40,135,,175
4/11/2021,,32,101,,133
4/18/2021,Good Friday,21,93,,114
4/25/2021,Easter,9,113,,122
5/2/2021,,30,92,,122
5/9/2021,,21,91,,112
5/16/2021,,23,128,,151
5/23/2021,,18,100,,118
5/30/2021,,36,102,,138
6/6/2021,,30,90,,120
6/13/2021,,30,92,,122
6/20/2021,,36,100,,136
6/27/2021,,9,114,,123
7/4/2021,,9,76,,85
7/11/2021,,27,81,,118
7/18/2021,,15,116,,131
7/25/2021,,18,85,,103
8/1/2021,,21,115,,136
8/8/2021,,20,138,,158
8/15/2021,,29,120,,149
8/22/2021,,21,65,,86
8/29/2021,,30,95,,125
9/5/2021,,33,116,,159
9/12/2021,,27,108,,135
9/19/2021,,33,104,,137
9/26/2021,,18,116,,134
10/3/2021,,21,122,,143
10/10/2021,,24,125,,148
10/17/2021,,20,112,,132
10/24/2021,,20,113,,133
10/31/2021,,18,116,,134
11/7/2021,,22,128,,150
11/14/2021,,21,150,,171
11/21/2021,,22,120,,142
11/28/2021,,26,107,,132
12/5/2021,,26,110,,136
12/12/2021,,36,138,,174
12/19/2021,,19,119,,138
12/24/2021,Christmas Eve,21,178,,199
12/26/2021,,15,96,,111
1/2/2022,snow,50,52,,102
1/9/2022,snow,36,49,,85
1/16/2022,,30,116,,146
1/23/2022,,39,112,,151
1/30/2022,,51,165,,216
2/6/2022,,33,115,,148
2/13/2022,,33,128,,161
2/20/2022,,18,127,,145
2/27/2022,,27,118,,135
3/6/2022,,50,115,,165
3/13/2022,,21,123,,144
3/20/2022,,18,137,,155
3/27/2022,,24,104,,128
4/3/2022,,21,135,,156
4/10/2022,Palm Sunday,21,158,,179
4/17/2022,Easter,18,274,,292
4/24/2022,,22,152,,174
5/1/2022,,25,145,,170
5/8/2022,,15,138,,153
5/15/2022,,9,154,,163
5/22/2022,,23,139,,162
5/29/2022,,18,131,,149
6/5/2022,,15,131,,145
6/12/2022,,18,148,,166
6/19/2022,,13,134,,147
6/26/2022,,16,116,,132
7/3/2022,,17,141,,158
7/10/2022,,11,103,,114
7/17/2022,,5,115,,120
7/24/2022,,18,108,,126
7/31/2022,,26,128,,154
8/7/2022,,27,94,,121
8/14/2022,,15,116,,131
8/21/2022,,15,138,,153
8/28/2022,,13,160,,173
9/4/2022,,12,88,,100
9/11/2022,,7,142,,149
9/18/2022,,13,136,,149
9/25/2022,,8,114,,122
10/2/2022,,15,127,,142
10/9/2022,,8,117,,125
10/16/2022,,20,141,,161
10/23/2022,,21,131,,152
10/30/2022,,9,124,,133
11/6/2022,,10,130,,140
11/13/2022,,17,121,,138
11/20/2022,,15,123,,138
11/27/2022,,15,123,,138
12/4/2022,,15,137,,152
12/11/2022,,9,112,,121
12/18/2022,,10,146,,156
12/24/2022,Christmas Eve,10,153,,163
12/25/2022,,11,71,,82
1/1/2023,,18,75,12,105
1/8/2023,,12,103,35,150
1/15/2023,,7,100,45,152
1/22/2023,,15,91,39,145
1/29/2023,,16,91,44,151
2/5/2023,,12,89,36,137
2/12/2023,,12,95,27,134
2/19/2023,,12,119,45,176
2/26/2023,,9,105,53,167
3/5/2023,,14,96,30,140
3/12/2023,,23,75,24,122
3/19/2023,,12,94,43,149
3/26/2023,,12,101,34,147
4/2/2023,Palm Sunday,15,106,54,175
4/9/2023,Easter Sunday,8,165,54,227
4/16/2023,,9,109,39,157
4/23/2023,Commitment Sunday,11,102,37,150
4/30/2023,Commitment Sunday,12,107,45,164
